Registered Item Types:
  0: Wood
  1: Jellybean
  2: Sugar
  3: BiscuitPowder
  4: Jellyberry
  5: Milk
  6: CottonCandy
  7: Axe
  8: Pickaxe
  9: Saw
  10: Shovel
  11: Pile
  12: Tongs
  13: SugarHammer
  14: JellybeanJam
  15: SweetberryJam
  16: DalgonaJam
  17: PomegranateJam
  18: PopberryJam
  19: PineconeDoll
  20: AcornLamp
  21: CuckooClock
  22: DreamCatcher
  23: RyeBread
  24: Jampie
  25: Focaccia
  26: Donut
  27: Castella
  28: Croissant
  29: JellyStew
  30: JellyBugger
  31: CandyCreamPasta
  32: FluffyOmurice
  33: PizzaJelly
  34: JellybeanMeal
  35: Flowerpot
  36: GlassPlate
  37: Marble
  38: DessertBowl
  39: CandyFlower
  40: HappyFlower
  41: CandyBouquet
  42: FlowerBasket
  43: GlassBouquet
  44: YogurtWreath
  45: Cream
  46: Butter
  47: HandyCheese
  48: JellybeanLatte
  49: BubbleTea
  50: SweetberryAde
  51: CandyCushion
  52: BearCottonDoll
  53: DragonDoll
  54: CreamRootBeer
  55: RedberryJuice
  56: Wildbottle
  57: Muffin
  58: StrawberryCake
  59: ChiffonCake
  60: GlazedRing
  61: Brooch
  62: JellyCrown
